Zeit (s);Pos X;Pos Y;Pos Z;Bewegung X;Bewegung Y;Bewegung Z; Looking at Artwork;
114,72;-6,32;10,85;-9,94;0,00;0,00;0,03;none
114,74;-6,32;10,85;-9,91;0,00;0,00;0,03;none
114,75;-6,31;10,85;-9,88;0,00;0,00;0,03;none
114,76;-6,31;10,85;-9,85;0,00;0,00;0,03;none
114,78;-6,31;10,85;-9,83;0,00;0,00;0,03;none
114,79;-6,31;10,85;-9,80;0,00;0,00;0,03;none
114,80;-6,30;10,85;-9,77;0,00;0,00;0,03;none
114,82;-6,30;10,85;-9,74;0,00;0,00;0,03;none
114,83;-6,30;10,85;-9,72;0,00;0,00;0,02;none
114,85;-6,30;10,85;-9,69;0,00;0,00;0,03;none
114,86;-6,29;10,85;-9,66;0,00;0,00;0,03;none
114,87;-6,29;10,85;-9,63;0,00;0,00;0,03;none
114,89;-6,29;10,85;-9,60;0,00;0,00;0,03;none
114,90;-6,29;10,85;-9,58;0,00;0,00;0,03;none
114,92;-6,29;10,85;-9,55;0,00;0,00;0,03;none
114,93;-6,28;10,85;-9,52;0,00;0,00;0,03;none
114,95;-6,28;10,85;-9,49;0,00;0,00;0,03;none
114,96;-6,28;10,85;-9,47;0,00;0,00;0,03;none
114,97;-6,28;10,85;-9,44;0,00;0,00;0,03;none
114,99;-6,28;10,85;-9,41;0,00;0,00;0,03;none
115,00;-6,27;10,85;-9,38;0,00;0,00;0,03;none
115,01;-6,27;10,85;-9,35;0,00;0,00;0,03;none
115,03;-6,27;10,85;-9,33;0,00;0,00;0,03;none
115,04;-6,27;10,85;-9,30;0,00;0,00;0,03;none
115,06;-6,27;10,85;-9,27;0,00;0,00;0,03;none
115,07;-6,27;10,85;-9,24;0,00;0,00;0,03;none
115,08;-6,26;10,85;-9,21;0,00;0,00;0,03;none
115,10;-6,26;10,85;-9,19;0,00;0,00;0,03;none
115,11;-6,26;10,85;-9,16;0,00;0,00;0,03;none
115,13;-6,26;10,85;-9,13;0,00;0,00;0,03;none
115,14;-6,26;10,85;-9,10;0,00;0,00;0,03;none
115,15;-6,26;10,85;-9,08;0,00;0,00;0,03;none
